Data,R*
2021-05-24,0.719880661892599
2021-05-25,0.7063443991876797
2021-05-26,0.6978850559601223
2021-05-27,0.6902704603358158
2021-05-28,0.6839399649770894
2021-05-29,0.6976380763008267
2021-05-30,0.6859360510858252
2021-05-31,0.6782722419579859
2021-06-01,0.666395291572985
2021-06-02,0.6654578481217995
2021-06-03,0.6724653614242188
2021-06-04,0.6727873153097131
2021-06-05,0.6595584974668197
2021-06-06,0.657249007757045
2021-06-07,0.6548664949117158
2021-06-08,0.6482920182992314
2021-06-09,0.6270050235182667
2021-06-10,0.6004379262265154
2021-06-11,0.5982024661325311
2021-06-12,0.6063107511884908
2021-06-13,0.6080257920745026
2021-06-14,0.6112239581850238
2021-06-15,0.6319725957491941
2021-06-16,0.6518905330350508
2021-06-17,0.6724319664391718
2021-06-18,0.6235337769313354
2021-06-19,0.6148798789254423
2021-06-20,0.6218537521852106
2021-06-21,0.6297107912136924
2021-06-22,0.6113727794116162
2021-06-23,0.5855841792685558
2021-06-24,0.5901610123208018
2021-06-25,0.6499081415601923
2021-06-26,0.6450265915760741
2021-06-27,0.6581232053435867
2021-06-28,0.632455162864031
2021-06-29,0.6590239630230033
2021-06-30,0.6838732114145353
2021-07-01,0.7004208346410903
2021-07-02,0.7021419576152153
2021-07-03,0.6960181210078553
2021-07-04,0.682786599214036
2021-07-05,0.7067783804258964
2021-07-06,0.7227942671195208
2021-07-07,0.7596337642700939
2021-07-08,0.7760881000162936
2021-07-09,0.8156260583539274
2021-07-10,0.864429903069938
2021-07-11,0.8924858965024168
2021-07-12,0.9048569041796333
2021-07-13,0.9403596504485652
2021-07-14,0.9956906830618263
2021-07-15,0.9822364465836915
2021-07-16,1.0402974711278257
2021-07-17,1.0753636428770588
2021-07-18,1.1485632293726713
2021-07-19,1.2080063877781684
2021-07-20,1.2483391404453255
2021-07-21,1.2665871442422336
2021-07-22,1.3776962960079953
2021-07-23,1.409883733833443
2021-07-24,1.466689174312977
2021-07-25,1.466002274822869
2021-07-26,1.4650639382848583
2021-07-27,1.45615488911076
2021-07-28,1.4736464972550074
2021-07-29,1.4602869145322754
2021-07-30,1.4436453271040848
2021-07-31,1.428971034224004
2021-08-01,1.4129163526368445
2021-08-02,1.3983271265656132
2021-08-03,1.376297691564799
2021-08-04,1.3480917735474707
2021-08-05,1.3248756695852941
2021-08-06,1.299022646503458
2021-08-07,1.2801495247826908
2021-08-08,1.265079279077888
2021-08-09,1.2711419599678617
2021-08-10,1.2710038675021136
2021-08-11,1.25731850961102
2021-08-12,1.2347293718995564
2021-08-13,1.2202940592222318
2021-08-14,1.1965867373670127
2021-08-15,1.1739259308459649
2021-08-16,1.1462918768133261
2021-08-17,1.1341519695141553
2021-08-18,1.1041531199041121
2021-08-19,1.0941726627468034
2021-08-20,1.072542791923681
2021-08-21,1.068832057913488
2021-08-22,1.0625739583289875
2021-08-23,1.066759978772314
2021-08-24,1.0603875154543245
2021-08-25,1.067503033737602
2021-08-26,1.0630107297719502
2021-08-27,1.0635021431480811
2021-08-28,1.0566213099236414
2021-08-29,1.0569285414755114
2021-08-30,1.054213152482978
2021-08-31,1.024468128325582
2021-09-01,1.0080646018021202
2021-09-02,0.9985075753727249
2021-09-03,0.9897849982995187
2021-09-04,0.9777792801069926
2021-09-05,0.9597702648989254
2021-09-06,0.9501897397354766
2021-09-07,0.9608357592679754
2021-09-08,0.9520772520248281
2021-09-09,0.932715176142981
2021-09-10,0.9173027370906988
2021-09-11,0.9085067136483779
2021-09-12,0.9087273759906574
2021-09-13,0.9006371432008873
2021-09-14,0.8849993767182129
2021-09-15,0.8652322235898589
2021-09-16,0.8580965462978676
2021-09-17,0.84922367212687
2021-09-18,0.8439626626000476
2021-09-19,0.8525368150688366
2021-09-20,0.8554316455690731
2021-09-21,0.8575932698154864
2021-09-22,0.863580021718625
2021-09-23,0.8691353518336045
2021-09-24,0.873408197108329
2021-09-25,0.8750835369232222
2021-09-26,0.8653113308896783
2021-09-27,0.8622159453661102
2021-09-28,0.8685779122212467
2021-09-29,0.865553622367734
2021-09-30,0.86090565261031
2021-10-01,0.8707513286151882
2021-10-02,0.8705445534250522
2021-10-03,0.8777060431156506
2021-10-04,0.8803247226720264
2021-10-05,0.88338610241337
2021-10-06,0.8920132214663838
2021-10-07,0.8988510934889317
2021-10-08,0.8893008690777674
2021-10-09,0.8923869757300251
2021-10-10,0.8819010826394746
2021-10-11,0.8833167958955994
2021-10-12,0.8845805639878517
2021-10-13,0.8810824889808063
2021-10-14,0.8794007899510784
2021-10-15,0.8841473451701434
2021-10-16,0.8861124162392682
2021-10-17,0.885285980543402
2021-10-18,0.8758261997692974
2021-10-19,0.8689351481659308
2021-10-20,0.8867545541604039
2021-10-21,0.905610225407278
2021-10-22,0.9190223310674881
2021-10-23,0.9314233646902631
2021-10-24,0.952834525014732
2021-10-25,0.9708989117729853
2021-10-26,1.0085948384516676
2021-10-27,1.0292814537517407
2021-10-28,1.0517334728671497
2021-10-29,1.0829737390031693
2021-10-30,1.1060669848861477
2021-10-31,1.1255939548041025
2021-11-01,1.1473913035102496
2021-11-02,1.1517436768683635
2021-11-03,1.1590159385774912
2021-11-04,1.1662460773769672
2021-11-05,1.1784906794282948
2021-11-06,1.1970301215496868
2021-11-07,1.208811773693789
2021-11-08,1.2125835355222916
2021-11-09,1.2199779600930492
2021-11-10,1.240861958388746
2021-11-11,1.259534601821184
